Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC VIETNAM-GLOBAL EQUITY FUND,PVGEF,Conventional,Equity,Global,Capital Growth,5,Incidental,203.70,02.10.2019,Disqualified,0.0,0/4,-1.78,1.67,-3.45,9.69,20.05,-10.36,12.03,14.99,-2.96,4.47,7.44,-2.97,,,,-0.25,-0.75,-0.21,-0.21,,1.60,79.40,,19.00,,,20.60,9.50,,,1.00,,10.40,,,,,37.00,3.10,18.70,12.30,22.70,,,,,,,21.20,DCVFMVN Diamond ETF | Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Alibaba Group Holding Limited - W | DCVFMVN30 ETF,Communications (22.7%) | ETF (21.2%) | Technology (18.7%) | Financial (12.3%) | Industrial (3.1%),13.9,Very High,Equity Global Global,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ASIA LEADERS EQUITY FUND,PIALEF,Shariah,Equity,Asia,Capital Growth,5,Incidental,1718.77,19.01.2010,Disqualified,0.0,0/5,18.57,18.94,-0.37,36.92,37.54,-0.62,13.81,16.96,-3.15,1.07,2.94,-1.87,8.32,9.14,-0.82,-0.02,-0.03,-0.17,-0.10,-0.04,,89.90,,10.10,,,11.00,27.50,40.80,,,,10.20,,,,0.40,,20.80,48.80,,19.90,,,,,0.40,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Alibaba Group Holding Limited - W,Technology (48.8%) | Industrial (20.8%) | Communications (19.9%) | Basic Materials (0.4%),18.5,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPIALEFisacompositeof90%customisedindexbyS&PDow JonesIndices,LLCbasedontop100constituentsbymarketcapitalisationofthe S&PShariahBMIAsiaEx-JapanIndexand10%3-MonthIslamicInterbankMoney Market (IIMM) rate. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC ASEAN GROWTH FUND,PIASGF,Shariah,Equity,ASEAN,Capital Growth,5,Incidental,858.14,21.06.2018,Disqualified,0.0,0/4,3.20,5.92,-2.72,13.54,23.53,-9.99,-1.92,1.58,-3.50,-2.27,-0.97,-1.30,,,,-0.24,-0.89,-0.31,-0.12,,18.10,72.80,,9.10,,,5.50,5.40,,,,,,9.30,,30.10,,22.30,26.50,5.40,,21.70,9.80,14.90,,,,,,Delta Electronics (Thailand) Public Company Limited - Foreign | Bumrungrad Hospital Public Company Limited - Foreign | Meta Platforms Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Airports Of Thailand Public Company Limited - Foreign,"Industrial (26.5%) | Communications (21.7%) | Consumer, Non-cyclical (14.9%) | Consumer, Cyclical (9.8%) | Technology (5.4%)",11.2,High,Equity ASEAN ASEAN,"Index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB ASIA PACIFIC DIVIDEND FUND,PBAPDF,Conventional,Equity,Asia Pacific,Income,5,Annual,145.84,15.08.2017,Disqualified,0.0,0/4,7.00,12.95,-5.95,9.51,22.81,-13.30,10.78,14.94,-4.16,7.11,8.29,-1.18,,,,-0.64,-1.43,-0.45,-0.13,,7.00,74.90,,18.10,,,3.90,21.40,9.40,,,,12.70,,,,,,5.80,26.40,34.90,13.80,1.00,,,,,,,Sun Hung Kai Properties Limited | Taiwan Semiconductor Manufacturing Company Limited | MediaTek Incorporated | China Construction Bank Corporation - H Shares | Public Bank Berhad,"Financial (34.9%) | Technology (26.4%) | Communications (13.8%) | Industrial (5.8%) | Consumer, Cyclical (1.0%)",9.3,Moderate,Equity Asia Pacific ex- Asia,,[MFR FEB26] PB Series Funds.pdf
PB CHINA AUSTRALIA EQUITY FUND,PBCAUEF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,143.20,02.03.2010,Disqualified,0.0,0/5,-2.22,2.19,-4.41,-6.89,7.03,-13.92,0.18,5.04,-4.86,-1.79,-0.93,-0.86,4.43,5.67,-1.24,-0.29,-0.92,-0.32,-0.06,-0.08,,81.10,,18.90,,,,,,,,,3.50,,,,30.70,,,3.90,23.90,20.90,16.90,,,,10.90,,,Alibaba Group Holding Limited - W | BHP Group Limited | Tencent Holdings Limited | Commonwealth Bank of Australia | Contemporary Amperex Technology Company Limited - H Shares,"Financial (23.9%) | Communications (20.9%) | Consumer, Cyclical (16.9%) | Basic Materials (10.9%) | Technology (3.9%)",15.1,Very High,Equity Asia Pacific ex- Asia,,[MFR FEB26] PB Series Funds.pdf
PB ASEAN DIVIDEND FUND,PBADF,Conventional,Equity,ASEAN,Income,5,Annual,536.82,08.05.2007,Disqualified,0.0,0/5,1.60,5.88,-4.28,2.23,13.84,-11.61,0.67,6.38,-5.71,2.36,6.02,-3.66,4.06,4.56,-0.50,-0.66,-1.79,-0.88,-0.56,-0.08,11.30,85.90,,2.80,,,,7.70,5.30,,,,5.00,50.20,,7.70,,,18.30,12.50,39.90,20.30,,,2.80,,,,,DBS Group Holdings Limited | Oversea-Chinese Banking Corporation Limited | Taiwan Semiconductor Manufacturing Company Limited | Singapore Technologies Engineering Limited | Singapore Telecommunications Limited,Financial (39.9%) | Communications (20.3%) | Industrial (18.3%) | Technology (12.5%) | Utilities (2.8%),6.5,Low,Equity ASEAN ASEAN,"2018 2.00 31.05.18 6.8 ThebenchmarkforPBADFisacompositeof35%StraitsTimesIndex,30%Kuala LumpurCompositeIndex(priorto6July2009),30% FTSEBursaMalaysiaKLCI 2019 1.75 31.05.19 6.3 (w.e.f. 6 July 2009), 15% Jakarta Composite Index, 15% Stock Exchange of 2020 0.75 29.05.20 3.3 ThailandIndexand5% PhilippineStock ExchangeIndex(priorto30April2010). 2021 1.00 31.05.21 3.6 90% FTSE/ASEAN 40 Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR) (w.e.f. 30 April 2010). 2022 0.75 31.05.22 2.7 Underlying index data are sourced from Lipper and Bank Negara Malaysia and 2023 0.75 31.05.23 2.6 expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PB CHINA ASEAN EQUITY FUND,PBCAEF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,83.81,05.03.2008,Disqualified,0.0,0/5,-5.70,1.37,-7.07,-10.51,8.04,-18.55,-0.11,5.72,-5.83,-3.50,-0.27,-3.23,3.04,4.98,-1.94,-0.44,-1.16,-0.36,-0.20,-0.12,1.80,86.00,,12.20,,,,,,,,,2.20,10.30,,13.90,,17.40,,9.60,31.10,24.50,10.20,6.80,,,,,,Alibaba Group Holding Limited - W | Tencent Holdings Limited | Bumrungrad Hospital Public Company Limited - Foreign | Semiconductor Manufacturing International Corporation | Pop Mart International Group Limited,"Financial (31.1%) | Communications (24.5%) | Consumer, Cyclical (10.2%) | Technology (9.6%) | Consumer, Non-cyclical (6.8%)",16.0,Very High,Equity Asia Pacific ex- Asia,"The benchmark for PBCAEF is a composite of 50% of Hang Seng China EnterprisesIndex(HSCEI)(priorto1January2009),20%KualaLumpurComposite Index(priorto6July2009),20%FTSEBursaMalaysiaKLCI(w.e.f.6July2009), 15% Straits Times Index (STI), 7.5% Jakarta Composite Index (JCI), 5% Stock Exchange of Thailand Index (SET) and 2.5% Philippine Stock Exchange Index (PSEi) (prior to 30 April 2010). 50%MSCIChinaFreeIndex(1January2009to29April2021),50%S&PChina LargeMidCapIndex(w.e.f.30April2021)and50%FTSE/ASEAN40Index(w.e.f. 30 April 2010). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC FAR-EAST CONSUMER THEMES FUND,PFECTF,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,144.33,08.01.2008,Disqualified,0.0,0/5,-1.00,10.52,-11.52,-11.74,6.84,-18.58,-6.86,-0.85,-6.01,-9.31,-5.18,-4.13,0.42,1.71,-1.29,-0.85,-1.37,-0.44,-0.30,-0.09,,80.90,,19.10,,,7.00,5.30,15.20,11.50,,,32.40,,,,,,5.30,17.60,,23.60,32.10,2.30,,,,,,Alibaba Group Holding Limited - W | Samsung Electronics Company Limited | Tencent Holdings Limited | BYD Company Limited - H Shares | ASICS Corporation,"Consumer, Cyclical (32.1%) | Communications (23.6%) | Technology (17.6%) | Industrial (5.3%) | Consumer, Non-cyclical (2.3%)",13.6,Very High,Equity Sector Consumer Asia,"Note: Distribution yield simply measures the level of distributions and is ThebenchmarkforPFECTFisacustomisedindexbasedonconsumersectorsby not a measure of fund performance. DowJones IndexesSM (prior to 1 January2009), customised indexby S&P Dow JonesIndices,LLCbasedonconsumersectorsofS&PBMIAsiaEx-JapanIndex (w.e.f. 1 January 2009). Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC INDIA-GLOBAL EQUITY FUND,PINGEF,Shariah,Equity,Global,Capital Growth,5,Incidental,144.08,19.01.2018,Disqualified,0.0,0/4,-5.89,-0.65,-5.24,-2.36,5.86,-8.22,4.24,10.37,-6.13,0.84,6.55,-5.71,,,,-0.46,-0.71,-0.53,-0.50,,0.40,78.40,,21.20,,,26.30,9.70,,,,,9.70,,1.60,,,31.10,6.60,18.30,5.20,37.90,6.40,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Meta Platforms Incorporated | Alibaba Group Holding Limited - W | NVIDIA Corporation,"Communications (37.9%) | Technology (18.3%) | Industrial (6.6%) | Consumer, Cyclical (6.4%) | Financial (5.2%)",11.5,High,Global,"ThebenchmarkforPINGEFisacompositeof40%MSCIIndiaIndex(priorto30 April2021),40%S&PIndiaLargeCapIndex(w.e.f.30April2021),25%DowJones Industrial Average, 25% customised index by MSCI based on the top 30 constituents of MSCI AC Far-East Ex-Japan Index (prior to 30 April 2021), 25% customisedindexbyS&PDowJonesIndices,LLCbasedonthetop30constituents oftheS&PBMIAsiaEx-JapanIndex(w.e.f.30April2021)and10%3-MonthKuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC FAR-EAST TELCO & INFRASTRUCTURE FUND,PFETIF,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,49.36,08.07.2008,Disqualified,0.0,0/5,-6.77,3.21,-9.98,-9.31,12.25,-21.56,-2.32,4.24,-6.56,-7.36,-2.17,-5.19,-1.03,0.50,-1.53,-0.73,-1.57,-0.48,-0.38,-0.11,16.20,58.40,,25.40,,,,2.80,6.10,,,,37.20,12.30,,,,,,,,55.30,,,9.20,5.70,,,,Alibaba Group Holding Limited - W | Tencent Holdings Limited | Naver Corporation | Telekom Malaysia Berhad | Tenaga Nasional Berhad,Communications (32.6%) | Internet (13.8%) | Utilities (9.2%) | Telecommunications (8.9%) | Electric (5.7%),13.7,Very High,Asia,"ThebenchmarkforPFETIFisacustomisedindexbasedonTelecommunications, Construction & Materials & Utilities sectors by Dow Jones IndexesSM (prior to 1 January 2009), customised index by S&P Dow Jones Indices, LLC based on Telecommunication Service, Construction & Materials & Utilities sectors of S&P BMI Asia Ex-Japan Index (w.e.f. 1 January 2009). Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC SOUTH-EAST ASIA SELECT FUND,PSEASF,Conventional,Equity,ASEAN,Capital Growth,5,Incidental,897.78,02.10.2007,Disqualified,0.0,0/5,-1.72,6.49,-8.21,-1.04,14.99,-16.03,-0.06,6.64,-6.70,2.27,6.29,-4.02,3.14,4.64,-1.50,-1.32,-2.59,-1.08,-0.65,-0.24,11.80,79.60,,8.60,,,14.40,,,,,,,51.00,,9.20,,5.00,14.60,,42.80,25.30,6.00,,2.00,,,,,DBS Group Holdings Limited | Oversea-Chinese Banking Corporation Limited | Public Bank Berhad | Singapore Technologies Engineering Limited | Bank Central Asia Tbk,"Financial (42.8%) | Communications (25.3%) | Industrial (14.6%) | Consumer, Cyclical (6.0%) | Utilities (2.0%)",6.2,Low,Equity ASEAN ASEAN,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ASEAN GROWTH FUND,PASGF,Conventional,Equity,ASEAN,Capital Growth,5,Incidental,76.54,26.10.2017,Disqualified,0.0,0/4,0.50,6.49,-5.99,0.62,14.99,-14.37,-2.47,6.64,-9.11,-0.09,6.29,-6.38,,,,-0.81,-1.94,-1.23,-0.86,,10.00,80.80,,9.20,,,,,,,,,,52.40,,12.80,,15.60,22.00,,37.30,14.70,4.80,,5.80,,,,,Oversea-Chinese Banking Corporation Limited | DBS Group Holdings Limited | Keppel Limited | Singapore Technologies Engineering Limited | Tenaga Nasional Berhad,"Financial (37.3%) | Industrial (22.0%) | Communications (14.7%) | Utilities (5.8%) | Consumer, Cyclical (4.8%)",7.4,Low,ASEAN,Index data are sourced from Lipper and expressed in Ringgit terms.,[MFR FEB26] Public Series Funds.pdf
PB ASIA EMERGING GROWTH FUND,PBAEGF,Conventional,Equity,Asia,Capital Growth,5,Incidental,20.14,06.09.2011,Disqualified,0.0,0/5,-0.46,14.44,-14.90,12.27,28.27,-16.00,0.32,9.47,-9.15,-1.80,2.29,-4.09,3.45,4.89,-1.44,-1.42,-1.52,-0.87,-0.39,-0.14,11.50,71.30,,17.20,,,,33.60,,,,,18.90,9.50,,3.60,,2.60,38.30,15.50,5.70,12.10,,10.20,,,,,,Gold Circuit Electronics Limited | King Yuan Electronics Company Limited | Kinik Company | Jentech Precision Industrial Company Limited | UWC Berhad,"Industrial (38.3%) | Technology (15.5%) | Communications (12.1%) | Consumer, Non-cyclical (10.2%) | Financial (5.7%)",10.5,High,Equity Asia Pacific Small Asia,"ThebenchmarkforPBAEGFisacustomisedindexbyS&PDowJonesIndices,LLC basedontheconstituentswithintheSmallandMidCapstocksoftheS&PBMIAsia Ex-Japan Index comprising Malaysia, South Korea, China, Taiwan, Hong Kong, Singapore,Thailand,IndonesiaandPhilippines.TheSmallandMidCapstocksof theS&PBMIAsiaEx-JapanIndexarecustomisedtothefollowingweightsi.e.50% Top 100 Small Cap stocks and 50% Top 100 Mid Cap stocks. Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC STRATEGIC BALANCED FUND,PSTBLF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,4,Incidental,53.54,09.06.2016,Disqualified,50.0,2/4,-0.74,2.54,-3.28,9.73,9.23,0.50,11.67,9.21,2.46,5.41,5.94,-0.53,,,,-0.46,0.07,0.35,-0.07,,,47.80,41.00,11.20,,,16.40,6.30,5.90,,,,2.30,,,,,,2.10,16.00,4.20,21.00,4.50,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Meta Platforms Incorporated | Samsung Electronics Company Limited | Alphabet Incorporated - Class A,"Communications (21.0%) | Technology (16.0%) | Consumer, Cyclical (4.5%) | Financial (4.2%) | Industrial (2.1%)",7.1,Low,Mixed Asset MYR Global,,[MFR FEB26] Public Series Funds.pdf
PUBLIC e-ATARAXIA MIXED ASSET FUND,PeAXMAF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,3,Incidental,732.89,23.05.2023,Disqualified,50.0,1/2,-1.06,0.10,-1.16,4.62,4.58,0.04,,,,,,,,,,,,,,,1.10,30.50,61.20,7.20,,,13.00,2.50,5.70,,,,5.20,,1.70,,,,,15.70,1.30,6.60,4.80,2.40,,,,,,Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Tesla Incorporated | Intuitive Surgical Incorporated | Broadcom Incorporated,"Technology (15.7%) | Communications (6.6%) | Consumer, Cyclical (4.8%) | Consumer, Non-cyclical (2.4%) | Financial (1.3%)",,,,"The benchmark for PeAXMAF is a composite of 70% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR) and 30% S&P Global LargeCap Index. Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC EHSAN MIXED ASSET GROWTH FUND,PESMAGF,Shariah,Mixed Asset / Balanced,Malaysia,Capital Growth,4,Incidental,32.82,25.11.2014,Disqualified,40.0,2/5,-0.90,0.13,-1.03,5.71,6.48,-0.77,8.51,4.55,3.96,-0.64,0.72,-1.36,2.94,0.89,2.05,-0.15,-0.11,0.57,-0.19,0.29,41.80,23.80,31.40,3.00,,,15.70,5.90,,,,,2.20,,,,,,6.70,7.30,,21.50,,12.20,8.70,,,,,Alphabet Incorporated - Class A | Tenaga Nasional Berhad | IHH Healthcare Berhad | Taiwan Semiconductor Manufacturing Company Limited | Meta Platforms Incorporated,"Communications (21.5%) | Consumer, Non-cyclical (12.2%) | Utilities (8.7%) | Technology (7.3%) | Industrial (6.7%)",7.0,Low,Mixed Asset MYR Domestic,2021 1.00 30.4.21 2.8 ThebenchmarkforPESMAGFisacompositeof70%FTSEBursaMalaysiaHijrah Shariah Index and 30% 3-Month Islamic Interbank Money Market (IIMM) rate. 2022 2.00 29.4.22 7.5 Underlying index data are sourced from Lipper and Bank Negara Malaysia. Note: Distribution yield simply measures the level of distributions and is not a measure of fund performance.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC GROWTH BALANCED FUND,PIGRBF,Shariah,Mixed Asset / Balanced,Malaysia,Capital Growth,3,Incidental,335.44,07.10.2015,Disqualified,40.0,2/5,-1.96,0.19,-2.15,3.27,6.08,-2.81,6.66,4.44,2.22,1.04,1.10,-0.06,5.95,1.26,4.69,-0.36,-0.47,0.37,-0.01,0.78,31.10,18.90,37.80,12.20,,,13.60,1.00,,4.30,,,,,,,,,16.00,4.40,4.00,12.10,6.50,,,,,,,Tesla Incorporated | Frontken Corporation Berhad | TIME dotCom Berhad | Gamuda Berhad | Shibaura Mechatronics Corporation,"Industrial (16.0%) | Communications (12.1%) | Consumer, Cyclical (6.5%) | Technology (4.4%) | Financial (4.0%)",6.0,Low,Mixed Asset MYR Domestic,ThebenchmarkforPIGRBFisacompositeof60%FTSEBursaMalaysiaHijrah Shariah Index and 40% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB ASIA REAL ESTATE INCOME FUND,PBAREIF,Conventional,Mixed Asset / Balanced,Asia,Capital Growth + Income,4,Annual,51.70,18.12.2007,Disqualified,40.0,2/5,4.80,5.15,-0.35,10.07,10.37,-0.30,4.92,5.01,-0.09,2.38,1.91,0.47,2.71,2.21,0.50,-0.06,-0.05,-0.02,0.09,0.09,17.20,34.90,43.00,4.90,,,,,,9.30,,,6.90,1.00,,,7.90,,,,,,,,,,,52.10,,China Resources Land Limited | Sun Hung Kai Properties Limited | Mitsubishi Estate Company Limited | Link Real Estate Investment Trust | Pavilion Real Estate Investment Trust,Real Estate (28.6%) | REITS (23.5%),5.5,Low,Mixed Asset MYR Asia,"The benchmark for PBAREIF is a composite of 60% customised index of Asia PacificRealEstateSectorIndexbyDowJonesIndexesSM(priorto1January2009), 60%customisedindexbasedontheconstituentswithintherealestatesectorofthe Standard&Poor'sBMIAsiaPacificIndexcustomisedbyS&PDowJonesIndices, LLC (w.e.f. 1 January 2009) and 40% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying indexdata are sourced from S&P Dow Jones Indices,LLC andBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC e-AL-MUTAWAZAN STRATEGY FUND,PeMZSF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,3,Incidental,17.78,30.11.2021,Disqualified,33.3,1/3,-1.65,0.19,-1.84,1.67,6.08,-4.41,5.44,4.44,1.00,,,,,,,-0.25,-0.60,0.14,,,15.10,41.10,36.30,7.50,,,8.40,,3.70,,,,3.00,,,,,,18.90,,4.20,10.80,,4.50,10.40,,,,,Tenaga Nasional Berhad | Meta Platforms Incorporated | QL Resources Berhad | Sunway Berhad | Hanwha Aerospace Company Limited,"Industrial (18.9%) | Communications (10.8%) | Utilities (10.4%) | Consumer, Non-cyclical (4.5%) | Financial (4.2%)",7.4,Low,Mixed Asset MYR Domestic,Thebenchmark forPeMZSFisacompositeof60% FTSE BursaMalaysiaHijrah Shariah Index and 40% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public e-Series Funds.pdf
PUBLIC e-ASIA PACIFIC REITs FLEXI FUND,PeAPREITF,Conventional,Mixed Asset / Balanced,Asia Pacific,Capital Growth + Income,5,Annual,56.01,18.02.2020,Disqualified,25.0,1/4,-1.82,-0.40,-1.42,1.65,7.09,-5.44,1.91,1.66,0.25,-1.72,-1.60,-0.12,,,,-0.17,-0.66,0.03,-0.01,,8.90,72.60,,18.50,,,,5.70,,18.10,,,7.40,14.30,,,16.50,,,7.80,62.40,11.30,,,,,,,,Goodman Group | CapitaLand Integrated Commercial Trust | CapitaLand Ascendas REIT | Link Real Estate Investment Trust | Taiwan Semiconductor Manufacturing Company Limited,Financial (62.4%) | Communications (11.3%) | Technology (7.8%),8.3,Moderate,Equity Sector Real Estate Asia,"ThebenchmarkforPeAPREITFisacompositeof70%S&PPanAsiaREITIndex, 20% customised index by S&P Dow Jones Indices, LLC based on the top 30 constituentsoftheS&PBMIAsiaEx-JapanIndexand10%3-MonthKualaLumpur Interbank Offered Rate (KLIBOR). Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ISLAMIC GLOBAL BALANCED FUND,PISGBLF,Shariah,Mixed Asset / Balanced,Global,Capital Growth,4,Incidental,52.68,03.12.2019,Disqualified,25.0,1/4,-1.64,-0.16,-1.48,4.79,6.21,-1.42,11.12,11.05,0.07,5.32,8.14,-2.82,,,,-0.15,-0.15,0.01,-0.29,,,56.10,32.60,11.30,,,38.60,,9.40,,2.70,,5.40,,,,,,4.20,24.90,,19.00,5.80,2.20,,,,,,Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Apple Incorporated | Alphabet Incorporated - Class A | Microsoft Corporation,"Technology (24.9%) | Communications (19.0%) | Consumer, Cyclical (5.8%) | Industrial (4.2%) | Consumer, Non-cyclical (2.2%)",9.7,Moderate,Mixed Asset MYR Global,a measure of fund performance. The benchmark for PISGBLF is a composite of 60% S&P Global 1200 Shariah Index and 40% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB AUSTRALIA DYNAMIC BALANCED FUND,PBADBF,Conventional,Mixed Asset / Balanced,Australia,Capital Growth + Income,4,Incidental,88.04,12.05.2009,Disqualified,20.0,1/5,5.53,5.08,0.45,5.22,9.20,-3.98,2.78,4.83,-2.05,2.99,4.06,-1.07,4.69,5.13,-0.44,0.06,-0.50,-0.26,-0.14,-0.06,,60.00,36.90,3.10,,,,,,,,,,,,,60.00,,,,23.00,3.00,7.10,2.00,,,23.30,,,BHP Group Limited | Commonwealth Bank of Australia | National Australia Bank Limited | Rio Tinto Limited | ANZ Group Holdings Limited,"Basic Materials (23.3%) | Financial (23.0%) | Consumer, Cyclical (7.1%) | Communications (3.0%) | Consumer, Non-cyclical (2.0%)",7.9,Moderate,Mixed Asset MYR Global,,[MFR FEB26] PB Series Funds.pdf
PB INDONESIA BALANCED FUND,PBINDOBF,Conventional,Mixed Asset / Balanced,Indonesia,Capital Growth + Income,5,Incidental,249.23,12.10.2010,Disqualified,20.0,1/5,-5.21,-5.95,0.74,-7.07,2.12,-9.19,-7.37,-4.32,-3.05,-2.09,-1.45,-0.64,-0.45,0.43,-0.88,0.08,-0.96,-0.32,-0.07,-0.09,,54.30,32.80,12.90,,,6.40,,,,,,4.40,,,43.50,,,,,30.70,14.70,1.30,7.60,,,,,,PT Bank Mandiri (Persero) Tbk | Bank Central Asia Tbk | Bank Rakyat Indonesia (Persero) Tbk | PT Bank Syariah Indonesia Tbk | PT GoTo Gojek Tokopedia Tbk,"Financial (30.7%) | Communications (14.7%) | Consumer, Non-cyclical (7.6%) | Consumer, Cyclical (1.3%)",9.6,Moderate,Mixed Asset MYR ASEAN,,[MFR FEB26] PB Series Funds.pdf
PB ISLAMIC DYNAMIC ALLOCATION FUND,PBIDYNAF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,5,Incidental,212.03,28.02.2018,Disqualified,0.0,0/4,-5.56,-0.13,-5.43,3.22,6.73,-3.51,12.08,12.32,-0.24,1.80,8.93,-7.13,,,,-0.38,-0.24,-0.02,-0.50,,,78.90,,21.10,,,46.50,9.40,,,3.80,,13.00,,,,,,2.30,27.00,,36.80,12.80,,,,,,,Meta Platforms Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Tesla Incorporated | Alibaba Group Holding Limited - W | Alphabet Incorporated - Class A,"Communications (36.8%) | Technology (27.0%) | Consumer, Cyclical (12.8%) | Industrial (2.3%)",14.4,Very High,Mixed Asset MYR Global,Thebenchmark forPBIDYNAFisacompositeof70% S&P Global 1200Shariah Index and 30% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] PB Series Funds.pdf
